graph_hash,profile,cycle_i,cycle_j,distance,shared_vertices,shared_edges
f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,"(4,0,0,0)",0,2,4,0,0
f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,"(4,0,0,0)",0,3,7,0,0
f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,"(4,0,0,0)",1,2,6,0,0
f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,"(4,0,0,0)",1,3,7,0,0
f398dd9300c3f37fa91baeba758bea04d9239cb6d1b18abccfd25d252c4e2a22,"(4,0,0,0)",2,3,7,0,0
6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4,"(4,0,0,0)",0,1,7,0,0
6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4,"(4,0,0,0)",0,2,10,0,0
6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4,"(4,0,0,0)",0,3,5,0,0
6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4,"(4,0,0,0)",1,2,10,0,0
6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4,"(4,0,0,0)",1,3,5,0,0
6bd8f9145c419b95a402b3f22b4e6c4d13eb4c8ab066741c2191939fba6611e4,"(4,0,0,0)",2,3,3,0,0
57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,"(4,0,0,0)",0,1,3,0,0
57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,"(4,0,0,0)",0,2,7,0,0
57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,"(4,0,0,0)",0,3,4,0,0
57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,"(4,0,0,0)",1,2,8,0,0
57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,"(4,0,0,0)",1,3,5,0,0
57ffcbc5208de7aae826ebb1ddfe598a2ce9eb0a021e952970bbea4cfbf4d5df,"(4,0,0,0)",2,3,7,0,0
8afa1624a15c9b995cb952a175ebb73873c5715b09a94614702e28a0e0f8a53b,"(4,0,0,0)",0,1,1,0,0
8afa1624a15c9b995cb952a175ebb73873c5715b09a94614702e28a0e0f8a53b,"(4,0,0,0)",0,2,8,0,0
8afa1624a15c9b995cb952a175ebb73873c5715b09a94614702e28a0e0f8a53b,"(4,0,0,0)",0,3,8,0,0
8afa1624a15c9b995cb952a175ebb73873c5715b09a94614702e28a0e0f8a53b,"(4,0,0,0)",1,2,8,0,0
8afa1624a15c9b995cb952a175ebb73873c5715b09a94614702e28a0e0f8a53b,"(4,0,0,0)",1,3,8,0,0
8afa1624a15c9b995cb952a175ebb73873c5715b09a94614702e28a0e0f8a53b,"(4,0,0,0)",2,3,7,0,0
924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,"(4,0,0,0)",0,1,3,0,0
924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,"(4,0,0,0)",0,2,8,0,0
924f4adfe64611ccde15f12e4e139c3a910e7b0c63c3df57476d6d32a5e1b88f,"(4,0,0,0)",0,3,8,0,0
