group,graph_hash,edge_count,degree_sequence,d_min,d_mean,d_max,union_vertices,all_vertex_disjoint
target_clean,ee09e0a6973599c0d9fbab36743644faaa5482a1fc645f3334d37286e4ee3197,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,5.666666666666667,8,16,True
target_clean,0cfea9c9faec35bd4129431e4bf25745fa9157a287c3e53a9109f56215dd834a,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",1,5.0,7,16,True
target_clean,e0b5cbc79caaadfa4e2c29bbe62d9d28c38e605789c6970fa01d8fca3da8dc77,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,6.833333333333333,11,16,True
target_clean,ad49ea06fdc5a9acd0ce08b9693ae353c255932dc5947411568bbe534bda47aa,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",1,6.666666666666667,9,16,True
target_clean,d661591d7f3256788be949751aadb43a03aa3591026bdcd9722c752b60857459,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",4,7.166666666666667,10,16,True
target_clean,169a3844637c93938e35a80cb488a1549f50e4947e6236b902d6546ea17b7b80,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",6,7.5,8,16,True
target_clean,c182bbd36f668b962aa95319f7a512c4ceefc935d41c52bcf119cb2f55a6cdab,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",4,7.0,9,16,True
target_clean,cd215959b4cd859e5bcda82399d369b86135d116534cc4a0dc73c1dd7925c1c0,49,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4",3,7.0,11,16,True
target_clean,310101b7acd50d0bfb496d8e1c1e9d2b4482123da37d42e626495558008d2c24,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",3,7.833333333333333,12,16,True
target_clean,e37c9d223c2a440181c4dc85f96e95953ea438b1b8a088ba539a313959b33650,48,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3",1,6.666666666666667,8,16,True
